CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
2016-03-01,16:00,MANHATTAN,10018,40.7528955,-73.9892442,"(40.7528955, -73.9892442)",7 AVENUE                        ,WEST 37 STREET                  ,,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3397871,SPORT UTILITY / STATION WAGON,SMALL COM VEH(4 TIRES) ,,,
2016-04-02,10:10,BROOKLYN,11220,,,,4 AVENUE                        ,68 STREET,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3416769,Taxi,4 dr sedan,,,
2022-07-08,13:20,BROOKLYN,11207,40.66278,-73.88086,"(40.66278, -73.88086)",LINDEN BOULEVARD,ASHFORD STREET,,1.0,0.0,0,0,0,0,1,0,Driver Inexperience,Driver Inattention/Distraction,,,,4544769,Station Wagon/Sport Utility Vehicle,Sedan,,,
2013-01-10,19:30,,,,,,BRONX PARK EAST                 ,BOSTON ROAD                     ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,104039,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
2018-08-29,10:30,MANHATTAN,10018,40.753746,-73.984924,"(40.753746, -73.984924)",,,1065      AVENUE OF THE AMERICAS        ,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3970620,Taxi,Sedan,,,
2016-10-07,12:50,MANHATTAN,10011,40.744034,-74.00313,"(40.744034, -74.00313)",9 AVENUE                        ,WEST 19 STREET,,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3537278,Van,Pick-up Truck,,,
2018-07-09,12:30,BRONX,10457,40.852768,-73.89217,"(40.852768, -73.89217)",3 AVENUE                        ,EAST 182 STREET,,1.0,0.0,1,0,0,0,0,0,Backing Unsafely,,,,,3937877,Station Wagon/Sport Utility Vehicle,,,,
2019-05-16,10:00,BRONX,10472,,,,CROSS BRONX EXPRESSWAY          ,WHITE PLAINS ROAD,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4132906,Sedan,Sedan,,,
2017-04-11,16:20,MANHATTAN,10026,40.798344,-73.95243,"(40.798344, -73.95243)",,,55        WEST 110 STREET               ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3649851,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,
2018-11-14,12:00,,,40.764473,-73.747086,"(40.764473, -73.747086)",NORTHERN BOULEVARD              ,,,0.0,0.0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4020694,Carry All,Station Wagon/Sport Utility Vehicle,,,
2017-10-15,16:50,BROOKLYN,11210,40.631306,-73.94608,"(40.631306, -73.94608)",,,1610      FLATBUSH AVENUE               ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unsafe Lane Changing,,,,3770827,Sedan,Station Wagon/Sport Utility Vehicle,,,
2021-04-17,0:52,BRONX,10451,40.818012,-73.92519,"(40.818012, -73.92519)",PARK AVENUE,EAST 149 STREET,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4407969,Station Wagon/Sport Utility Vehicle,,,,
2018-12-12,14:40,MANHATTAN,10013,40.71803,-74.00974,"(40.71803, -74.00974)",,,11        JAY STREET                    ,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4045923,Station Wagon/Sport Utility Vehicle,Box Truck,,,
2015-06-18,17:00,,,,,,JAMAICA AVENUE                  ,VAN WYCK EXPRESSWAY             ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3241996,OTHER,PASSENGER VEHICLE,,,
2014-02-06,16:45,BRONX,10452,40.8331857,-73.9302128,"(40.8331857, -73.9302128)",SUMMIT AVENUE                   ,WEST 164 STREET                 ,,0.0,0.0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,88348,AMBULANCE,SPORT UTILITY / STATION WAGON,,,
2021-07-31,22:30,,,,,,NOSTRAND AVENUE,SHORE PARKWAY,,2.0,0.0,0,0,0,0,2,0,Unspecified,Unspecified,,,,4442253,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
