CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
2016-02-22,10:03,STATEN ISLAND,10312,40.5554802,-74.1648471,"(40.5554802, -74.1648471)",RIDGEWOOD AVENUE                ,LEVERETT AVENUE                 ,,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3393172,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2016-11-18,4:59,BRONX,10459,40.820305,-73.89083,"(40.820305, -73.89083)",BRUCKNER BOULEVARD              ,HUNTS POINT AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3563880,Sedan,Tractor Truck Diesel,,,
2024-07-27,15:47,MANHATTAN,10065,40.767235,-73.96454,"(40.767235, -73.96454)",LEXINGTON AVENUE,EAST 67 STREET,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4744124,Station Wagon/Sport Utility Vehicle,Taxi,,,
2018-02-24,20:25,,,40.675518,-73.81088,"(40.675518, -73.81088)",127 STREET                      ,,,0.0,0.0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3851716,Sedan,Station Wagon/Sport Utility Vehicle,,,
2022-03-02,18:05,BROOKLYN,11238,40.67792,-73.970055,"(40.67792, -73.970055)",,,201       PROSPECT PLACE,1.0,0.0,0,0,1,0,0,0,View Obstructed/Limited,Unspecified,,,,4506998,Taxi,Bike,,,
2017-09-20,13:33,QUEENS,11432,40.7082,-73.80109,"(40.7082, -73.80109)",161 STREET                      ,HILLSIDE AVENUE,,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Driver Inattention/Distraction,,,,3754366,Sedan,Sedan,,,
2018-11-06,9:45,,,40.7524,-73.74622,"(40.7524, -73.74622)",LONG ISLAND EXPRESSWAY          ,,,0.0,0.0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4015335,Carry All,Station Wagon/Sport Utility Vehicle,,,
2017-08-22,19:00,MANHATTAN,10011,40.734783,-73.998726,"(40.734783, -73.998726)",AVENUE OF THE AMERICAS          ,WEST 10 STREET,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3737017,Box Truck,Box Truck,,,
2019-09-28,14:00,BROOKLYN,11238,40.678326,-73.97203,"(40.678326, -73.97203)",CARLTON AVENUE                  ,PROSPECT PLACE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4214855,Sedan,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,
2021-07-02,20:22,BROOKLYN,11221,40.691555,-73.93677,"(40.691555, -73.93677)",LEWIS AVENUE,LAFAYETTE AVENUE,,1.0,0.0,0,0,0,0,1,0,Driver Inexperience,Driver Inattention/Distraction,,,,4436581,Station Wagon/Sport Utility Vehicle,Taxi,,,
2019-09-01,0:45,,,,,,NASSAU EXPRESSWAY               ,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4198311,Sedan,,,,
2013-06-05,12:33,BROOKLYN,11222,40.7246381,-73.9481706,"(40.7246381, -73.9481706)",MCGUINNESS BOULEVARD            ,NASSAU AVENUE                   ,,0.0,0.0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,199721,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,,,
2023-11-17,21:40,,,40.75858,-73.82562,"(40.75858, -73.82562)",BARCLAY AVENUE,UNION STREET,,1.0,0.0,1,0,0,0,0,0,Unspecified,,,,,4680699,Sedan,,,,
2018-03-14,0:15,QUEENS,11361,40.759747,-73.76112,"(40.759747, -73.76112)",,,220-03    46 AVENUE                     ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3862334,Station Wagon/Sport Utility Vehicle,,,,
2013-06-05,16:45,QUEENS,11369,40.762658,-73.8732511,"(40.762658, -73.8732511)",ASTORIA BOULEVARD               ,96 STREET                       ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,282267,LIVERY VEHICLE,PASSENGER VEHICLE,,,
2017-08-02,7:00,QUEENS,11361,40.766705,-73.78274,"(40.766705, -73.78274)",35 AVENUE                       ,205 STREET,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3725215,Sedan,Sedan,,,
2015-01-06,11:45,MANHATTAN,10028,40.7768767,-73.9493719,"(40.7768767, -73.9493719)",EAST 86 STREET                  ,1 AVENUE                        ,,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3147956,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,,,
2017-11-27,11:00,MANHATTAN,10034,40.868855,-73.92454,"(40.868855, -73.92454)",,,159       PAYSON AVENUE                 ,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3798869,Sedan,Box Truck,,,
2016-05-11,13:50,MANHATTAN,10069,40.779537,-73.988,"(40.779537, -73.988)",WEST 70 STREET                  ,RIVERSIDE BOULEVARD,,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3439758,Convertible,4 dr sedan,,,
2016-02-26,7:38,BRONX,10474,40.8134651,-73.8914341,"(40.8134651, -73.8914341)",LONGWOOD AVENUE                 ,TRUXTON STREET                  ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3395331,OTHER,OTHER,,,
2019-12-01,20:30,,,40.65723,-73.96025,"(40.65723, -73.96025)",FLATBUSH AVENUE                 ,,,1.0,0.0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4251323,Station Wagon/Sport Utility Vehicle,,,,
2018-06-27,17:00,QUEENS,11354,40.763588,-73.83603,"(40.763588, -73.83603)",COLLEGE POINT BOULEVARD         ,35 AVENUE,,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3930087,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
2014-06-04,17:24,MANHATTAN,10007,40.7108872,-74.0090609,"(40.7108872, -74.0090609)",BROADWAY                        ,FULTON STREET                   ,,0.0,0.0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,345961,SPORT UTILITY / STATION WAGON,TAXI,,,
2021-02-25,4:57,,,40.702007,-73.821205,"(40.702007, -73.821205)",131 STREET                      ,JAMAICA AVENUE,,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4394571,,,,,
2013-01-04,22:20,,,,,,,,PARKING LOT OF 110-00 ROCKAWAY BOULEVARD,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,229509,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2021-12-11,3:45,BROOKLYN,11207,40.668987,-73.89514,"(40.668987, -73.89514)",,,340       PENNSYLVANIA AVENUE,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4486018,Sedan,Sedan,,,
2018-03-10,22:30,,,40.725643,-73.99207,"(40.725643, -73.99207)",BOWERY                          ,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Following Too Closely,,,,3860965,Sedan,Sedan,,,
2018-08-23,9:30,,,40.58255,-73.82767,"(40.58255, -73.82767)",ROCKAWAY BEACH BOULEVARD        ,,,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Failure to Yield Right-of-Way,,,,3966808,Sedan,Van,,,
2021-05-13,21:20,MANHATTAN,10012,40.722298,-73.99713,"(40.722298, -73.99713)",SPRING STREET,LAFAYETTE STREET,,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4416750,,,,,
2013-08-18,4:10,MANHATTAN,10034,40.8631133,-73.9206117,"(40.8631133, -73.9206117)",NAGLE AVENUE                    ,WEST 204 STREET                 ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,71725,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2012-08-27,15:00,,,,,,,,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2927028,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2017-10-21,7:25,STATEN ISLAND,10304,40.62546,-74.08454,"(40.62546, -74.08454)",,,589       VANDUZER STREET               ,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Unspecified,Unspecified,,,3775127,Sedan,Sedan,Sedan,,
2014-12-18,17:45,,,,,,MAIN STREET                     ,CHARTER ROAD                    ,,0.0,0.0,0,0,0,0,0,0,Prescription Medication,Unspecified,,,,3139874,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,,,
2012-11-01,15:50,BROOKLYN,11203,40.6470338,-73.9452831,"(40.6470338, -73.9452831)",TILDEN AVENUE                   ,EAST 34 STREET                  ,,2.0,0.0,0,0,0,0,2,0,Unspecified,Unspecified,,,,136171,PASSENGER VEHICLE,UNKNOWN,,,
2014-10-04,14:00,BRONX,10465,40.8265246,-73.8158114,"(40.8265246, -73.8158114)",ELLSWORTH AVENUE                ,SCHLEY AVENUE                   ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,1034605,PASSENGER VEHICLE,UNKNOWN,,,
2023-06-17,2:06,BROOKLYN,11233,40.68345,-73.91592,"(40.68345, -73.91592)",,,672       DECATUR STREET,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4638670,Sedan,,,,
2013-04-25,19:45,BRONX,10452,40.8383616,-73.9249165,"(40.8383616, -73.9249165)",NELSON AVENUE                   ,WEST 168 STREET                 ,,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,86827,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2012-08-28,18:00,,,40.7008398,-73.9949394,"(40.7008398, -73.9949394)",,,,0.0,0.0,0,0,0,0,0,0,Glare,Unspecified,,,,2983126,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,,,
2014-04-21,18:18,BRONX,10452,40.8454299,-73.9139752,"(40.8454299, -73.9139752)",JEROME AVENUE                   ,FEATHER BED LANE                ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,323705,UNKNOWN,PASSENGER VEHICLE,,,
2018-01-03,14:00,MANHATTAN,10022,40.758327,-73.96894,"(40.758327, -73.96894)",EAST 54 STREET                  ,3 AVENUE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3821815,Van,Sedan,,,
2023-05-07,20:07,BRONX,10473,40.816906,-73.84755,"(40.816906, -73.84755)",LACOMBE AVENUE,CASTLE HILL AVENUE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4628207,Station Wagon/Sport Utility Vehicle,,,,
2013-01-20,19:40,BROOKLYN,11236,40.6379647,-73.9134607,"(40.6379647, -73.9134607)",EAST 82 STREET                  ,GLENWOOD ROAD                   ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,145599,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2024-05-01,7:30,QUEENS,11375,40.72341,-73.84473,"(40.72341, -73.84473)",,,69-62     108 STREET,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4721150,Station Wagon/Sport Utility Vehicle,,,,
2017-01-03,19:20,MANHATTAN,10016,40.7492,-73.98237,"(40.7492, -73.98237)",,,21        EAST 36 STREET                ,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3618653,Sedan,Taxi,,,
2016-09-20,1:00,,,40.85365,-73.871704,"(40.85365, -73.871704)",BRONX RIVER PARKWAY             ,,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,3524387,Sedan,,,,
2022-02-03,6:00,,,40.66851,-73.76626,"(40.66851, -73.76626)",144 AVENUE,,,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4499664,Sedan,Bus,,,
2021-10-01,7:30,QUEENS,11365,40.740463,-73.78193,"(40.740463, -73.78193)",,,194-01    64 CIRCLE,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4463119,Sedan,Station Wagon/Sport Utility Vehicle,,,
2015-10-05,22:40,,,40.7377122,-73.9742567,"(40.7377122, -73.9742567)",,,,0.0,0.0,0,0,0,0,0,0,Pavement Defective,,,,,3309705,PASSENGER VEHICLE,,,,
2022-02-27,19:00,,,40.828068,-73.81783,"(40.828068, -73.81783)",THROGS NECK EXPRESSWAY,RANDALL AVENUE,,1.0,0.0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4506955,Bus,Sedan,,,
2013-06-09,10:15,QUEENS,11413,40.6667139,-73.7515526,"(40.6667139, -73.7515526)",225 STREET                      ,143 AVENUE                      ,,1.0,0.0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,224006,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
2013-11-28,12:50,BRONX,10467,40.8831331,-73.8820877,"(40.8831331, -73.8820877)",KNOX PLACE                      ,WEST GUN HILL ROAD              ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,112805,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
2015-05-04,9:45,QUEENS,11415,40.7061424,-73.831765,"(40.7061424, -73.831765)",LEFFERTS BOULEVARD              ,METROPOLITAN AVENUE             ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3214398,PICK-UP TRUCK,SMALL COM VEH(4 TIRES) ,,,
2015-05-24,2:50,QUEENS,11412,40.7081645,-73.7614073,"(40.7081645, -73.7614073)",104 AVENUE                      ,197 STREET                      ,,1.0,0.0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3226728,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2013-10-11,20:30,MANHATTAN,10011,40.7440247,-74.0084591,"(40.7440247, -74.0084591)",11 AVENUE                       ,WEST 16 STREET                  ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,20370,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2015-06-10,9:13,BROOKLYN,11221,40.6860717,-73.9160449,"(40.6860717, -73.9160449)",BROADWAY                        ,WEIRFIELD STREET                ,,1.0,0.0,0,0,0,0,1,0,Unspecified,,,,,3237496,SPORT UTILITY / STATION WAGON,,,,
2020-11-14,20:45,BROOKLYN,11226,40.63962,-73.95477,"(40.63962, -73.95477)",FLATBUSH AVENUE                 ,NEWKIRK AVENUE,,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4367562,Sedan,,,,
2019-03-26,0:01,QUEENS,11355,40.752007,-73.809845,"(40.752007, -73.809845)",LABURNUM AVENUE                 ,157 STREET,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4105345,Sedan,,,,
2023-12-11,9:53,MANHATTAN,10025,40.79286,-73.96754,"(40.79286, -73.96754)",WEST 96 STREET,COLUMBUS AVENUE,,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Driver Inexperience,,,,4686755,Station Wagon/Sport Utility Vehicle,Sedan,,,
2013-10-20,21:15,,,,,,12 AVENUE                       ,WEST 125 STREET                 ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,63272,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2014-03-07,17:30,BRONX,10457,40.8437796,-73.9094631,"(40.8437796, -73.9094631)",EAST 173 STREET                 ,MORRIS AVENUE                   ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,88503,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,
2018-10-25,15:00,,,40.828114,-73.93107,"(40.828114, -73.93107)",MAJOR DEEGAN EXPRESSWAY         ,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4011878,Station Wagon/Sport Utility Vehicle,Flat Bed,,,
2015-12-11,9:20,MANHATTAN,10021,40.7688025,-73.9583602,"(40.7688025, -73.9583602)",2 AVENUE                        ,EAST 72 STREET                  ,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Turning Improperly,,,,3350783,TAXI,PICK-UP TRUCK,,,
2019-05-04,20:00,,,40.71997,-73.992905,"(40.71997, -73.992905)",CHRYSTIE STREET                 ,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4127238,Sedan,Sedan,,,
2022-11-24,22:50,BROOKLYN,11218,40.64642,-73.97077,"(40.64642, -73.97077)",,,901       CHURCH AVENUE,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4585978,Sedan,,,,
2013-11-03,13:00,MANHATTAN,10034,40.8662004,-73.9280595,"(40.8662004, -73.9280595)",SEAMAN AVENUE                   ,DYCKMAN STREET                  ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,72055,UNKNOWN,MOTORCYCLE,MOTORCYCLE,,
2019-04-03,20:25,,,40.69168,-73.99965,"(40.69168, -73.99965)",COLUMBIA STREET                 ,ATLANTIC AVENUE,,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Turning Improperly,,,,4108400,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2018-05-09,10:10,,,40.67816,-73.897484,"(40.67816, -73.897484)",PENNSYLVANIA AVENUE             ,,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3897106,Sedan,Sedan,,,
2014-08-06,17:30,,,,,,NORTHERN BOULEVARD              ,CLEARVIEW EXPRESSWAY            ,,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,1005229,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,,,
2016-06-25,19:00,QUEENS,11358,40.763496,-73.80734,"(40.763496, -73.80734)",NORTHERN BOULEVARD              ,158 STREET,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3469238,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2017-08-21,8:50,BRONX,10467,40.87744,-73.86426,"(40.87744, -73.86426)",,,3514      HOLLAND AVENUE                ,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3734704,Sedan,Sedan,,,
2015-10-06,14:48,,,,,,,,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3310532,LARGE COM VEH(6 OR MORE TIRES),LARGE COM VEH(6 OR MORE TIRES),,,
2014-02-22,5:50,MANHATTAN,10012,40.7263924,-73.9917957,"(40.7263924, -73.9917957)",EAST 3 STREET                   ,BOWERY                          ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,16444,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2014-06-25,17:40,BROOKLYN,11215,40.6627999,-73.9783481,"(40.6627999, -73.9783481)",12 STREET                       ,PROSPECT PARK WEST              ,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,358152,OTHER,PICK-UP TRUCK,,,
2017-04-16,14:50,BRONX,10461,40.842766,-73.84594,"(40.842766, -73.84594)",SAINT RAYMOND AVENUE            ,EAST TREMONT AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3651872,Sedan,Station Wagon/Sport Utility Vehicle,,,
2017-08-01,7:40,,,40.825382,-73.86271,"(40.825382, -73.86271)",BRUCKNER EXPRESSWAY RAMP        ,,,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3726516,Van,Tractor Truck Diesel,,,
2018-08-08,10:47,QUEENS,11429,40.710285,-73.72971,"(40.710285, -73.72971)",,,225-20    104 AVENUE                    ,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,3957310,Convertible,,,,
2014-08-19,13:00,,,,,,,,PARKING LOT- 137-05 20 AVE              ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,1011432,SPORT UTILITY / STATION WAGON,,,,
2025-02-18,19:29,QUEENS,11373,40.73863,-73.87184,"(40.73863, -73.87184)",,,90-49     53 AVE,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,,,,4793540,Sedan,Station Wagon/Sport Utility Vehicle,,,
2018-11-13,19:30,STATEN ISLAND,10305,40.597,-74.08533,"(40.597, -74.08533)",,,1300      HYLAN BOULEVARD               ,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4020245,Sedan,Station Wagon/Sport Utility Vehicle,,,
2015-03-18,9:14,BROOKLYN,11235,40.5814144,-73.9460713,"(40.5814144, -73.9460713)",SHORE BOULEVARD                 ,GIRARD STREET                   ,,0.0,0.0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3188131,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2024-10-10,16:15,QUEENS,11420,40.683193,-73.81766,"(40.683193, -73.81766)",,,109-38    124 STREET,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4762559,Station Wagon/Sport Utility Vehicle,,,,
2013-04-05,1:05,BRONX,10472,40.8313611,-73.8681515,"(40.8313611, -73.8681515)",WESTCHESTER AVENUE              ,COMMONWEALTH AVENUE             ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,82678,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2012-10-02,21:40,,,40.7699045,-73.9160706,"(40.7699045, -73.9160706)",,,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,3102137,SPORT UTILITY / STATION WAGON,,,,
2021-06-23,19:30,,,40.76502,-73.9174,"(40.76502, -73.9174)",36 STREET,,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4430225,Station Wagon/Sport Utility Vehicle,,,,
2022-01-08,11:30,,,40.592815,-73.90808,"(40.592815, -73.90808)",BELT PARKWAY,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4492827,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
2023-04-28,16:30,,,40.85223,-73.87141,"(40.85223, -73.87141)",BRONX RIVER PARKWAY,,,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,4624327,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2023-04-21,8:10,,,40.572548,-74.16997,"(40.572548, -74.16997)",,,2975      RICHMOND AVENUE,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4622257,Sedan,Pick-up Truck,,,
2023-03-05,16:20,BROOKLYN,11223,40.592323,-73.96074,"(40.592323, -73.96074)",CONEY ISLAND AVENUE,CRAWFORD AVENUE,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,,4611410,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,
2020-06-30,9:30,QUEENS,11373,40.73608,-73.87181,"(40.73608, -73.87181)",,,90-31     56 AVENUE                     ,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4324547,Taxi,,,,
2022-10-07,10:54,BROOKLYN,11229,40.59918,-73.936844,"(40.59918, -73.936844)",,,2172      COYLE STREET,1.0,0.0,1,0,0,0,0,0,Backing Unsafely,,,,,4571018,Station Wagon/Sport Utility Vehicle,,,,
2020-01-22,20:45,MANHATTAN,10017,,,,,,320       EAST 49 STREET                ,1.0,0.0,1,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,4291153,Station Wagon/Sport Utility Vehicle,,,,
2022-05-20,17:00,BROOKLYN,11207,40.681858,-73.89372,"(40.681858, -73.89372)",,,215       HIGHLAND BOULEVARD,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4529930,Station Wagon/Sport Utility Vehicle,Sedan,,,
2014-10-13,8:50,QUEENS,11375,40.720979,-73.838297,"(40.720979, -73.838297)",72 ROAD                         ,112 STREET                      ,,0.0,0.0,0,0,0,0,0,0,Oversized Vehicle,,,,,1038742,SMALL COM VEH(4 TIRES) ,SPORT UTILITY / STATION WAGON,,,
2015-07-15,11:44,,,,,,,,P/L OF 77A RICHMOND HILL ROAD           ,0.0,0.0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3259048,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2024-09-11,14:00,,,,,,DE KALB AVENUE,,,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4755036,Station Wagon/Sport Utility Vehicle,Bus,,,
2016-12-05,17:40,,,40.72545,-73.837776,"(40.72545, -73.837776)",GRAND CENTRAL PKWY              ,,,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3573563,Sedan,Sedan,,,
2015-09-13,15:00,BROOKLYN,11214,40.5822717,-73.986118,"(40.5822717, -73.986118)",CROPSEY AVENUE                  ,BAY 54 STREET                   ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3295725,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2024-10-22,11:39,,,40.85223,-73.87141,"(40.85223, -73.87141)",BRONX RIVER PARKWAY,,,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4766287,Sedan,Bus,,,
2017-03-21,13:30,,,40.8166,-73.942764,"(40.8166, -73.942764)",WEST 137 STREET                 ,,,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3636898,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2022-06-01,12:20,,,40.8396,-73.929474,"(40.8396, -73.929474)",MAJOR DEEGAN EXPRESSWAY,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Reaction to Uninvolved Vehicle,,,,4534533,Station Wagon/Sport Utility Vehicle,Sedan,,,
2019-08-18,23:57,,,,,,TRIBOROUGH BRIDGE               ,,,0.0,0.0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Following Too Closely,Following Too Closely,Following Too Closely,,4191501,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,
2017-12-20,18:10,,,40.758205,-73.777405,"(40.758205, -73.777405)",CLEARVIEW EXPRESSWAY            ,,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3814476,Station Wagon/Sport Utility Vehicle,Sedan,,,
2021-12-09,13:00,,,40.69687,-73.799194,"(40.69687, -73.799194)",155 STREET,,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4485225,Station Wagon/Sport Utility Vehicle,,,,
2019-07-03,9:31,,,40.72462,-73.894554,"(40.72462, -73.894554)",69 STREET                       ,BORDEN AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4163976,Sedan,Station Wagon/Sport Utility Vehicle,,,
